wr_level,minute,count,avg_target_networth_diff,avg_target_networth_diff_raw,median_target_networth_diff,median_target_networth_diff_raw,min_target_networth_diff,max_target_networth_diff
80,49,54,-9061.89,-9061.89,-7892.0,-7142.0,-38966.0,-217.0
80,50,48,-9061.89,-8523.6,-7892.0,-6459.0,-44591.0,-138.0
80,51,39,-10454.62,-10454.62,-9717.0,-9717.0,-40881.0,-168.0
80,52,31,-12987.58,-12987.58,-9975.0,-9975.0,-45768.0,-375.0
80,53,32,-12987.58,-11404.31,-9975.0,-9321.0,-43431.0,-15.0
80,54,31,-12987.58,-10381.35,-9975.0,-9065.0,-41403.0,-118.0
80,55,27,-12987.58,-10959.67,-9975.0,-8942.0,-34173.0,-626.0
80,56,24,-12987.58,-9349.88,-9975.0,-7624.0,-25038.0,-558.0
80,57,21,-12987.58,-10372.1,-9983.0,-9983.0,-22784.0,-1464.0
80,58,18,-12987.58,-10132.72,-11589.0,-11589.0,-23353.0,-230.0
80,59,16,-12987.58,-7666.56,-11589.0,-4932.0,-25568.0,-560.0
80,60,16,-12987.58,-6771.56,-11589.0,-4083.0,-25645.0,-214.0
80,61,13,-12987.58,-7803.31,-11589.0,-4447.0,-40247.0,-188.0
80,62,9,-12987.58,-6226.56,-11589.0,-5471.0,-17793.0,-1034.0
80,63,8,-12987.58,-7724.38,-11589.0,-6874.5,-21651.0,-1066.0
80,64,6,-12987.58,-8129.33,-11589.0,-8717.5,-11903.0,-1559.0
80,65,6,-12987.58,-7289.33,-11589.0,-6680.5,-13515.0,-2789.0
80,66,6,-12987.58,-8525.33,-11589.0,-4766.5,-22670.0,-21.0
85,20,90,-4246.89,-4246.89,-3840.5,-3840.5,-15418.0,-1.0
85,21,95,-4323.07,-4323.07,-3840.5,-3542.0,-15094.0,-261.0
85,22,99,-4642.34,-4642.34,-3840.5,-3803.0,-14760.0,-32.0
85,23,96,-4940.56,-4940.56,-4187.5,-4187.5,-16819.0,-134.0
85,24,88,-5482.62,-5482.62,-4943.5,-4943.5,-18561.0,-41.0
85,25,91,-5731.08,-5731.08,-5611.0,-5611.0,-16629.0,-58.0
85,26,91,-5816.87,-5816.87,-5676.0,-5676.0,-17365.0,-54.0
85,27,82,-6317.79,-6317.79,-5754.5,-5754.5,-16689.0,-157.0
85,28,82,-6562.62,-6562.62,-5908.5,-5908.5,-17391.0,-18.0
85,29,81,-6760.48,-6760.48,-5908.5,-5893.0,-18716.0,-189.0
85,30,81,-6760.48,-6719.12,-5908.5,-5590.0,-20718.0,-15.0
85,31,78,-6892.83,-6892.83,-5908.5,-5776.5,-23614.0,-12.0
85,32,70,-6938.67,-6938.67,-5908.5,-5727.0,-23618.0,-363.0
85,33,68,-6938.67,-6482.87,-5908.5,-5836.5,-18700.0,-167.0
85,34,67,-6938.67,-6735.9,-6544.0,-6544.0,-18985.0,-269.0
85,35,63,-7445.7,-7445.7,-7114.0,-7114.0,-21625.0,-144.0
85,36,62,-7445.7,-7096.69,-7114.0,-6271.5,-23468.0,-82.0
85,37,56,-7445.7,-7377.88,-7114.0,-7006.5,-21724.0,-515.0
85,38,51,-7445.7,-7215.53,-7114.0,-6019.0,-25341.0,-174.0
85,39,49,-7579.39,-7579.39,-7114.0,-6628.0,-28734.0,-213.0
85,40,47,-8223.4,-8223.4,-7256.0,-7256.0,-27500.0,-25.0
85,41,42,-8223.4,-8092.17,-7259.0,-7259.0,-27466.0,-511.0
85,42,37,-8223.4,-8035.57,-7259.0,-6615.0,-29536.0,-615.0
85,43,32,-8223.4,-7801.03,-7259.0,-6300.0,-27325.0,-258.0
85,44,28,-8223.4,-7882.43,-7259.0,-6312.0,-27224.0,-216.0
85,45,20,-8652.15,-8652.15,-7259.0,-6285.5,-25128.0,-171.0
85,46,15,-8652.15,-8438.0,-7836.0,-7836.0,-23762.0,-44.0
85,47,16,-8652.15,-7348.88,-7836.0,-4739.0,-23606.0,-1348.0
85,48,15,-8652.15,-7825.73,-7836.0,-7520.0,-21343.0,-678.0
85,49,14,-9214.71,-9214.71,-8152.0,-8152.0,-25217.0,-946.0
85,50,11,-9610.27,-9610.27,-8589.0,-8589.0,-24874.0,-2468.0
85,51,8,-12088.5,-12088.5,-10850.5,-10850.5,-25804.0,-2113.0
85,52,7,-12453.0,-12453.0,-14209.0,-14209.0,-18669.0,-3665.0
90,20,417,-4452.39,-4452.39,-3933.0,-3933.0,-15727.0,-4.0
90,21,412,-4858.74,-4858.74,-4110.0,-4110.0,-16255.0,-44.0
90,22,412,-5173.58,-5173.58,-4370.0,-4370.0,-16885.0,-30.0
90,23,413,-5485.51,-5485.51,-4441.0,-4441.0,-18869.0,-30.0
90,24,408,-5777.24,-5777.24,-4702.0,-4702.0,-19446.0,-9.0
90,25,402,-6111.72,-6111.72,-5120.5,-5120.5,-20252.0,-35.0
90,26,390,-6344.24,-6344.24,-5278.5,-5278.5,-21742.0,-1.0
90,27,376,-6502.52,-6502.52,-5479.0,-5479.0,-21614.0,-15.0
90,28,369,-6722.14,-6722.14,-5851.0,-5851.0,-23492.0,-44.0
90,29,361,-6919.37,-6919.37,-5884.0,-5884.0,-23478.0,-5.0
90,30,347,-7141.33,-7141.33,-6134.0,-6134.0,-22013.0,-32.0
90,31,338,-7316.64,-7316.64,-6284.5,-6284.5,-25611.0,-88.0
90,32,321,-7658.41,-7658.41,-6697.0,-6697.0,-24667.0,-55.0
90,33,309,-7658.41,-7607.33,-6697.0,-6425.0,-24929.0,-83.0
90,34,282,-8015.15,-8015.15,-6697.0,-6668.5,-26196.0,-16.0
90,35,275,-8138.32,-8138.32,-6860.0,-6860.0,-26828.0,-20.0
90,36,273,-8138.32,-7936.04,-6860.0,-6713.0,-25670.0,-16.0
90,37,243,-8514.21,-8514.21,-7247.0,-7247.0,-27075.0,-83.0
90,38,228,-8606.07,-8606.07,-7411.5,-7411.5,-27449.0,-71.0
90,39,214,-9144.63,-9144.63,-7921.0,-7921.0,-27631.0,-23.0
90,40,201,-9209.78,-9209.78,-8657.0,-8657.0,-30105.0,-48.0
90,41,183,-9560.33,-9560.33,-8921.0,-8921.0,-30696.0,-20.0
90,42,171,-9560.33,-9160.2,-8921.0,-8026.0,-29998.0,-49.0
90,43,157,-9560.33,-9349.87,-8921.0,-7975.0,-33720.0,-36.0
90,44,141,-10279.27,-10279.27,-9622.0,-9622.0,-29171.0,-329.0
90,45,130,-10279.27,-10219.53,-9824.0,-9824.0,-30224.0,-259.0
90,46,120,-10279.27,-10050.31,-9824.0,-8888.0,-31255.0,-95.0
90,47,110,-10279.27,-10067.03,-9824.0,-8048.0,-34561.0,-221.0
90,48,95,-10279.27,-9616.82,-9824.0,-7347.0,-36216.0,-215.0
90,49,91,-10279.27,-9246.69,-9824.0,-6920.0,-38205.0,-108.0
90,50,75,-10279.27,-9702.04,-9824.0,-7822.0,-39638.0,-444.0
90,51,66,-10279.27,-8896.29,-9824.0,-6764.5,-43015.0,-6.0
90,52,57,-10279.27,-9761.54,-9824.0,-7226.0,-45627.0,-99.0
90,53,48,-10279.27,-9946.5,-9824.0,-6985.0,-45649.0,-228.0
90,54,45,-10279.27,-10273.49,-9824.0,-6171.0,-49807.0,-1325.0
90,55,32,-13418.38,-13418.38,-9824.0,-9065.0,-45044.0,-1657.0
90,56,30,-13418.38,-12894.77,-10657.0,-10657.0,-41617.0,-140.0
90,57,23,-13959.09,-13959.09,-12512.0,-12512.0,-41128.0,-276.0
90,58,18,-14697.83,-14697.83,-12512.0,-11862.0,-39556.0,-561.0
90,59,16,-15428.75,-15428.75,-12512.0,-10712.5,-41796.0,-343.0
90,60,16,-15428.75,-14891.12,-12512.0,-11767.5,-39440.0,-1956.0
90,61,14,-15428.75,-13177.71,-13854.0,-13854.0,-33863.0,-1530.0
90,62,12,-15428.75,-14948.33,-16122.5,-16122.5,-26253.0,-4375.0
90,63,12,-15632.42,-15632.42,-16122.5,-14562.5,-30035.0,-5938.0
90,64,12,-16681.67,-16681.67,-16401.0,-16401.0,-31791.0,-2146.0
90,65,12,-16681.67,-12275.25,-16401.0,-12630.0,-33241.0,-324.0
90,66,8,-18195.88,-18195.88,-19562.5,-19562.5,-33906.0,-2604.0
90,67,8,-18195.88,-15950.25,-19562.5,-14990.0,-36792.0,-1165.0
90,68,8,-18195.88,-14906.5,-19562.5,-12055.5,-36181.0,-792.0
90,69,7,-18195.88,-12249.86,-19562.5,-9130.0,-34187.0,-2126.0
90,70,6,-18195.88,-17343.33,-19562.5,-13201.5,-49982.0,-300.0
