hero_id,aggression,feed,pace,gpm,total_matches
90,0.543,0.1473,2402.3,511.3,39143
91,0.5607,0.1957,2263.0,293.5,33511
92,0.5638,0.1692,2297.3,530.8,26840
93,0.5008,0.1752,2390.3,542.0,147490
94,0.4377,0.107,2474.0,669.1,140215
95,0.46,0.1626,2390.8,646.6,35157
96,0.5536,0.188,2426.9,497.9,76631
97,0.5504,0.1911,2416.8,466.5,245747
98,0.5702,0.1824,2426.3,559.1,96023
99,0.4988,0.1973,2385.2,536.9,70075
100,0.5901,0.2493,2359.2,339.8,93909
101,0.588,0.2006,2453.2,396.9,110362
102,0.5205,0.1562,2345.7,464.9,144713
103,0.5696,0.1969,2498.6,380.8,27361
104,0.5366,0.2072,2412.7,496.8,182773
105,0.5417,0.2528,2533.6,408.6,61810
106,0.6098,0.1588,2381.5,553.0,150877
107,0.6184,0.2066,2428.6,426.7,43495
108,0.5257,0.1856,2421.0,512.8,52758
109,0.4308,0.1399,2372.3,652.8,120900
110,0.5967,0.2055,2439.0,438.3,105016
111,0.5648,0.1948,2359.6,322.9,81540
112,0.5477,0.2014,2420.7,358.1,88189
113,0.5019,0.1545,2428.3,685.1,25182
114,0.5378,0.1789,2413.0,568.9,139574
119,0.5811,0.221,2434.9,353.9,100478
120,0.5454,0.1667,2418.8,543.3,74770
121,0.5964,0.2227,2434.4,363.7,43297
123,0.5784,0.183,2457.0,374.8,74596
126,0.5644,0.1408,2409.1,530.6,67898
128,0.5775,0.1894,2453.8,407.0,104139
129,0.5485,0.1784,2429.7,492.9,174246
131,0.5665,0.2025,2422.2,337.4,103739
135,0.586,0.1816,2398.8,545.6,200532
136,0.5601,0.2169,2355.6,477.2,130382
137,0.5642,0.183,2426.5,509.6,42306
138,0.5159,0.1858,2445.3,478.6,85660
145,0.526,0.178,2416.6,589.1,62647
